data,hash
,a69f73cca23a9ac5c8b567dc185a756e97c982164fe25859e0d1dcc1475c80a615b2123af1f5f94c11e3e9402c3ac558f500199d95b6d3e301758586281dcd26
0a,7186d65cda74aa1f4263638c0da5444614b8186935508a1d6d2b3afc53e9523ecb0f269590a7eb4d15dd60331359934f78c41a007807f6b394d3f7d059fb6638
3c46,ca5b871499f4b04a42ab0c8455dcec0a87fab4452563b97853d6f1d4197de40a1d1d226359f6744eb2032a0c95e43341f02f45ba3b7cdce2d4d5d15b5d9a4484
fcf88a,cf521ec1b984b7a281c7739c77441b79f7e09ec752568cc7dcbc0e833eda6b8ba9bd941561c7814ce0fd2b6320ec77675236041e71ec9fe65cbd3994c95f9c78
4f8939d6,ff1d4b3bbbe0bf98c8ee1e60d5b8eee5e8d8c4c846938f42ae505a0779de38756d3d40a72e6f90c8c52d2c1bd90c04b38c5a1f032b218e40147b4d157e78fa55
8f8607dee7,c39258427c2029437eb9489e482ec692f0b6e3434afc32a776e94bdf27456a0c1e7f8e9bbf76173ad6b47fce85abc50e8abc60d7758e941d1a5b7ae2c8311210
0e3990d64bd5,ecf0a9c2198a0c0f57656bc3c6a562cf03f1619651a57178a44990deba7f8ff88a5b96778e21994fc9c8f72b0941e4b908877b6365ec90e2552b9cb03a26a56d
c35ca8a54c69f2,e59cdd502c23bbcb30c2e6a4e9c5228b230d49e0b337bbcd7b458c28bfb8cb1d32ba982b573d4e511caffc41a539472370c363d826f40366ffb2240a35d0fc57
28dbd0df8ae6030a,8d26957f1e9d45408d5bb7f9dc086ecb85b8ada38abdc80d646e14c2d032efe3323944bcb303944b135377abf03ef1b46db4963cbd80cd0d39cb79a5db8936b0
6948ce8fa7a896bee2,6159de3868e9bded6fd6ef6acadcc22a84404f0443068f98b59e897587a6a2e9484acc2f9c7c350625ca7f5238272abe1af15109235074feed7afe08a801583c
880ba18ced540fc61916,210504abb46584f39e11889dc8d273fbadc6a78843eae9b476c02cc55fa61f20b3ac67118f51fcc56591f6768997286cfae93f60d90e2fc732bf46bd85984a96
70e8699867ff8b394435b4,563bab72568d6e3ff4c68575fed78d5047034a3135150085ced42a97eab3d6ac3af811b9d28c40ba58d38614894ea278784b746c0e358dcac27e012cffec2566
49e26f19d066a471de3b2b71,47dacf32a4ad7d827d4c1083e3d7e46b3c9cd22d815906c6007a5b591264a33526940765d01acfa4ec373d75384573dda905e49bc51ae05601254506a8c933ae
3dab7da44f08ff53806742e39d,75d1c5c6a276eaf498e079a535695f8d40da2d441a4353ac04997c1971896a92ea75e3f327b358bd8c8e006dbdf588c1f65db1a6b24c0cb756c10af14852ef24
8fbff3ef3fa634e514b280e00304,1471dcdce06fb1a5fa90a075d2374e43ddcfdc4b181b5c743c6752754c7c55b508c599029cd088d38fd048ba52df003c793c28eafc5bc939e845780d06eafcdf
e19053b04f6c412b0d27c4a2bb2910,a5ee6f99f77e3c9223d82bf0cf8ae6daac2411776fb29f51712e9889f9f17f8da691c42bb30bf76ff2df80f63a9015e64f5846fbd0c30a6755d8df6abae7f264
a9fa3d0ab574165b8e02c1badf84034b,25f84b97b148a787b4b105d0a2a2b1fdc7bd1e799451f869831020dc78ee4b64b16a34ab7ed7423fff73822d16d4ec3a3caf30936552008a762421ab93b848e4
e2c4cf34c2932085289d61725f0bc21392,7adb9554db67706fe4f4d27754b4c8dbed06d2739c840cdd419077a503beeb4e6590ce7523d7cf13e957155720e09561555123912d477085bd70814e5bf22351
06d2ec43f074ed44f710e1f77ab4dbabe5ea,e774abf25544fb7f3d41cad2c5173ee726776fcd89dc940815b68d59ee8eb0ce75bbf96fff4c2592500cb38caf555e45179ad3d8a1688601424de84300d334cc
de7bd397ddf5d150d98c3e978b9b3a9f442544,a7d1847d92ab2bb99f0fdcc55c0efdd8f7bc6fdfa7296baaaf155b1d5e2557a12e83a2187c8b45103ccf525c174cbee3c0ac5555682260dd961168d6a0f59eaf
